date	lang	pages
2016-04	de	1
2016-05	de	1
2016-06	de	3
2016-07	de	4
2016-08	de	7
2016-09	de	21
2016-10	de	22
2016-11	de	23
2016-12	de	23
2017-01	de	27
2017-02	de	28
2017-03	de	32
2017-04	de	39
2017-05	de	44
2017-06	de	73
2017-07	de	319
2017-08	de	374
2017-09	de	390
2017-10	de	398
2017-11	de	405
2017-12	de	414
2018-01	de	425
2018-02	de	446
2018-03	de	455
2018-04	de	461
2018-05	de	468
2018-06	de	498
2018-07	de	503
2018-08	de	526
2016-04	fr	0
2016-05	fr	0
2016-06	fr	0
2016-07	fr	1
2016-08	fr	1
2016-09	fr	1
2016-10	fr	1
2016-11	fr	3
2016-12	fr	7
2017-01	fr	10
2017-02	fr	10
2017-03	fr	11
2017-04	fr	11
2017-05	fr	12
2017-06	fr	19
2017-07	fr	25
2017-08	fr	29
2017-09	fr	30
2017-10	fr	33
2017-11	fr	34
2017-12	fr	38
2018-01	fr	38
2018-02	fr	40
2018-03	fr	41
2018-04	fr	42
2018-05	fr	42
2018-06	fr	45
2018-07	fr	48
2018-08	fr	49
2016-04	en	0
2016-05	en	0
2016-06	en	0
2016-07	en	3
2016-08	en	3
2016-09	en	7
2016-10	en	12
2016-11	en	13
2016-12	en	13
2017-01	en	13
2017-02	en	13
2017-03	en	13
2017-04	en	13
2017-05	en	15
2017-06	en	49
2017-07	en	78
2017-08	en	84
2017-09	en	86
2017-10	en	89
2017-11	en	90
2017-12	en	96
2018-01	en	98
2018-02	en	98
2018-03	en	100
2018-04	en	101
2018-05	en	104
2018-06	en	109
2018-07	en	113
2018-08	en	115
2016-04	es	0
2016-05	es	0
2016-06	es	0
2016-07	es	0
2016-08	es	0
2016-09	es	0
2016-10	es	0
2016-11	es	0
2016-12	es	0
2017-01	es	0
2017-02	es	1
2017-03	es	1
2017-04	es	2
2017-05	es	2
2017-06	es	6
2017-07	es	18
2017-08	es	18
2017-09	es	19
2017-10	es	20
2017-11	es	21
2017-12	es	22
2018-01	es	22
2018-02	es	22
2018-03	es	22
2018-04	es	22
2018-05	es	22
2018-06	es	23
2018-07	es	23
2018-08	es	24
2016-04	it	0
2016-05	it	0
2016-06	it	0
2016-07	it	0
2016-08	it	0
2016-09	it	1
2016-10	it	1
2016-11	it	2
2016-12	it	2
2017-01	it	2
2017-02	it	3
2017-03	it	3
2017-04	it	3
2017-05	it	3
2017-06	it	8
2017-07	it	17
2017-08	it	27
2017-09	it	28
2017-10	it	29
2017-11	it	31
2017-12	it	34
2018-01	it	59
2018-02	it	76
2018-03	it	80
2018-04	it	87
2018-05	it	96
2018-06	it	113
2018-07	it	134
2018-08	it	143
2016-04	fa	0
2016-05	fa	0
2016-06	fa	0
2016-07	fa	0
2016-08	fa	0
2016-09	fa	0
2016-10	fa	0
2016-11	fa	0
2016-12	fa	0
2017-01	fa	0
2017-02	fa	0
2017-03	fa	0
2017-04	fa	0
2017-05	fa	0
2017-06	fa	0
2017-07	fa	0
2017-08	fa	0
2017-09	fa	6
2017-10	fa	6
2017-11	fa	6
2017-12	fa	6
2018-01	fa	6
2018-02	fa	10
2018-03	fa	11
2018-04	fa	16
2018-05	fa	17
2018-06	fa	17
2018-07	fa	17
2018-08	fa	17
2016-04	ar	0
2016-05	ar	0
2016-06	ar	0
2016-07	ar	0
2016-08	ar	0
2016-09	ar	0
2016-10	ar	0
2016-11	ar	0
2016-12	ar	0
2017-01	ar	0
2017-02	ar	1
2017-03	ar	1
2017-04	ar	1
2017-05	ar	2
2017-06	ar	2
2017-07	ar	2
2017-08	ar	2
2017-09	ar	2
2017-10	ar	2
2017-11	ar	5
2017-12	ar	5
2018-01	ar	5
2018-02	ar	5
2018-03	ar	5
2018-04	ar	6
2018-05	ar	6
2018-06	ar	6
2018-07	ar	6
2018-08	ar	6
2016-04	pt	0
2016-05	pt	0
2016-06	pt	0
2016-07	pt	0
2016-08	pt	0
2016-09	pt	0
2016-10	pt	0
2016-11	pt	1
2016-12	pt	1
2017-01	pt	1
2017-02	pt	1
2017-03	pt	1
2017-04	pt	1
2017-05	pt	2
2017-06	pt	7
2017-07	pt	11
2017-08	pt	11
2017-09	pt	11
2017-10	pt	11
2017-11	pt	11
2017-12	pt	13
2018-01	pt	13
2018-02	pt	13
2018-03	pt	13
2018-04	pt	13
2018-05	pt	13
2018-06	pt	14
2018-07	pt	14
2018-08	pt	14
2016-04	ru	0
2016-05	ru	0
2016-06	ru	0
2016-07	ru	0
2016-08	ru	0
2016-09	ru	0
2016-10	ru	0
2016-11	ru	0
2016-12	ru	0
2017-01	ru	0
2017-02	ru	0
2017-03	ru	1
2017-04	ru	1
2017-05	ru	1
2017-06	ru	5
2017-07	ru	7
2017-08	ru	7
2017-09	ru	7
2017-10	ru	7
2017-11	ru	7
2017-12	ru	8
2018-01	ru	8
2018-02	ru	8
2018-03	ru	10
2018-04	ru	10
2018-05	ru	10
2018-06	ru	10
2018-07	ru	10
2018-08	ru	11
2016-04	nl	0
2016-05	nl	0
2016-06	nl	0
2016-07	nl	0
2016-08	nl	0
2016-09	nl	0
2016-10	nl	0
2016-11	nl	0
2016-12	nl	0
2017-01	nl	0
2017-02	nl	0
2017-03	nl	0
2017-04	nl	0
2017-05	nl	0
2017-06	nl	0
2017-07	nl	2
2017-08	nl	2
2017-09	nl	2
2017-10	nl	2
2017-11	nl	3
2017-12	nl	4
2018-01	nl	4
2018-02	nl	4
2018-03	nl	4
2018-04	nl	5
2018-05	nl	5
2018-06	nl	5
2018-07	nl	6
2018-08	nl	6
2016-04	other_lang	0
2016-05	other_lang	0
2016-06	other_lang	0
2016-07	other_lang	0
2016-08	other_lang	1
2016-09	other_lang	1
2016-10	other_lang	1
2016-11	other_lang	1
2016-12	other_lang	2
2017-01	other_lang	3
2017-02	other_lang	6
2017-03	other_lang	6
2017-04	other_lang	6
2017-05	other_lang	7
2017-06	other_lang	16
2017-07	other_lang	24
2017-08	other_lang	28
2017-09	other_lang	28
2017-10	other_lang	40
2017-11	other_lang	46
2017-12	other_lang	53
2018-01	other_lang	61
2018-02	other_lang	68
2018-03	other_lang	78
2018-04	other_lang	88
2018-05	other_lang	99
2018-06	other_lang	110
2018-07	other_lang	120
2018-08	other_lang	123
