date	page_typology	pages
2016-04	article	1
2016-05	article	1
2016-06	article	1
2016-07	article	5
2016-08	article	8
2016-09	article	27
2016-10	article	31
2016-11	article	36
2016-12	article	41
2017-01	article	49
2017-02	article	55
2017-03	article	61
2017-04	article	69
2017-05	article	77
2017-06	article	173
2017-07	article	485
2017-08	article	561
2017-09	article	587
2017-10	article	613
2017-11	article	631
2017-12	article	663
2018-01	article	709
2018-02	article	757
2018-03	article	785
2018-04	article	816
2018-05	article	847
2018-06	article	906
2018-07	article	948
2018-08	article	986
2016-04	user_page	0
2016-05	user_page	0
2016-06	user_page	1
2016-07	user_page	1
2016-08	user_page	1
2016-09	user_page	1
2016-10	user_page	1
2016-11	user_page	1
2016-12	user_page	1
2017-01	user_page	1
2017-02	user_page	2
2017-03	user_page	2
2017-04	user_page	2
2017-05	user_page	4
2017-06	user_page	4
2017-07	user_page	9
2017-08	user_page	11
2017-09	user_page	12
2017-10	user_page	14
2017-11	user_page	18
2017-12	user_page	19
2018-01	user_page	19
2018-02	user_page	22
2018-03	user_page	23
2018-04	user_page	24
2018-05	user_page	24
2018-06	user_page	29
2018-07	user_page	29
2018-08	user_page	29
2016-04	wikipedia_page	0
2016-05	wikipedia_page	0
2016-06	wikipedia_page	0
2016-07	wikipedia_page	1
2016-08	wikipedia_page	2
2016-09	wikipedia_page	2
2016-10	wikipedia_page	3
2016-11	wikipedia_page	4
2016-12	wikipedia_page	4
2017-01	wikipedia_page	4
2017-02	wikipedia_page	4
2017-03	wikipedia_page	4
2017-04	wikipedia_page	4
2017-05	wikipedia_page	5
2017-06	wikipedia_page	6
2017-07	wikipedia_page	7
2017-08	wikipedia_page	7
2017-09	wikipedia_page	7
2017-10	wikipedia_page	7
2017-11	wikipedia_page	7
2017-12	wikipedia_page	8
2018-01	wikipedia_page	8
2018-02	wikipedia_page	8
2018-03	wikipedia_page	8
2018-04	wikipedia_page	8
2018-05	wikipedia_page	8
2018-06	wikipedia_page	12
2018-07	wikipedia_page	13
2018-08	wikipedia_page	15
2016-04	discussion_page	0
2016-05	discussion_page	0
2016-06	discussion_page	1
2016-07	discussion_page	1
2016-08	discussion_page	1
2016-09	discussion_page	1
2016-10	discussion_page	2
2016-11	discussion_page	2
2016-12	discussion_page	2
2017-01	discussion_page	2
2017-02	discussion_page	2
2017-03	discussion_page	2
2017-04	discussion_page	2
2017-05	discussion_page	2
2017-06	discussion_page	2
2017-07	discussion_page	2
2017-08	discussion_page	3
2017-09	discussion_page	3
2017-10	discussion_page	3
2017-11	discussion_page	3
2017-12	discussion_page	3
2018-01	discussion_page	3
2018-02	discussion_page	3
2018-03	discussion_page	3
2018-04	discussion_page	3
2018-05	discussion_page	3
2018-06	discussion_page	3
2018-07	discussion_page	4
2018-08	discussion_page	4
